"Key";"Type";"Desc";"English";"Українська [uk]";"Svenska [sv]";"Français [fr]";"Italiano [it]";"Deutsch [de]";"Español [es]";"Polski [pl]";"Português-Brasil";"中文 [zh-CN]";"日本語 [ja]";"한국어 [ko]";"Pусский [ru]"
"Audio/AmbienceVolume";"Text";;"Ambience Volume";;"Bakgrundsvolym";"Volume de l'ambiance";"Volume ambiente";"Umgebungslautstärke";"Volumen del entorno";"Głośność otoczenia";"Volume do ambiente";"环境音量";"アンビアンスボリューム";"배경음 볼륨";"Громкость фона"
"Audio/MasterVolume";"Text";;"Master Volume";;"Huvudvolym";"Volume général";"Volume principale";"Gesamtlautstärke";"Volumen general";"Głośność główna";"Volume geral";"主音量";"主音量";"마스터 볼륨";"Общая громкость"
"Audio/MusicRate/1";"Text";;"None";;"Ingen";"Aucune";"Nessuno";"Keine";"Ninguno";"Brak";"Nenhum";"无";;"없음";"Нет"
"Audio/MusicRate/2";"Text";;"Short";;"Kort";"Courte";"Breve";"Kurz";"Corto";"Krótkie";"Curto";"短";;"짧음";"Короткая"
"Audio/MusicRate/3";"Text";;"Medium";;"Mellan";"Moyenne";"Medio";"Mittel";"Medio";"Średnie";"Médio";"中";;"중간";"Средняя"
"Audio/MusicRate/4";"Text";;"Long";;"Lång";"Longue";"Lungo";"Lang";"Largo";"Długie";"Longo";"长";;"김";"Долгая"
"Audio/MusicRate/5";"Text";;"Max";;"Maximalt";"Maximale";"Massimo";"Max.";"Máx.";"Maksymalne";"Máximo";"最长";;"최대";"Максимальная"
"Audio/MusicRate/Title";"Text";;"Time between music tracks";;"Tid mellan musikspår";"Durée entre les chansons";"Tempo tra una traccia musicale e l’altra";"Pause zwischen Musiktiteln";"Tiempo entre pistas de música";"Przerwy między utworami muzycznymi";"Tempo entre faixas musicais";"音乐曲目间隔时间";;"음악 트랙간 간격";"Пауза между музыкальными треками"
"Audio/MusicVolume";"Text";;"Music Volume";;"Musikvolym";"Volume de la musique";"Volume musica";"Musiklautstärke";"Volumen de la música";"Głośność muzyki";"Volume da música";"音乐音量";"音楽の音量";"음악 볼륨";"Громкость музыки"
"Audio/NotebookVolume";"Text";;"Notebook Volume";;"Anteckningsboksvolym";"Volume du carnet";"Volume del quaderno";"Notebook-Lautstärke";"Volumen del cuaderno";"Głośność notatnika";"Volume das gravações";"记事本音量";"ノートの音量";"노트 음량";"Громкость блокнота"
"Audio/SFXVolume";"Text";;"SFX Volume";;"Effektvolym";"Volume des effets";"Volume effetti";"Soundeffektlautstärke";"Volumen de los efectos";"Głośność efektów dźwiękowych";"Volume dos efeitos";"音效音量";"SFX音量";"SFX 볼륨";"Громкость эффектов"
"Audio/UIVolume";"Text";;"UI Volume";;"Menyvolym";"Volume de l'ATH";"Volume interfaccia";"Benutzeroberflächenlautstärke";"Volumen de la IU";"Głośność interfejsu";"Volume do menu";"界面大小";"UI音量";"UI 볼륨";"Громкость меню"
